id,name
1,The Original Series
2,The Animated Series
3,The Next Generation
4,Deep Space Nine
5,Voyager
6,Enterprise
7,Discovery
8,Short Treks
9,Picard
10,Lower Decks
11,Prodigy
12,Strange New Worlds
13,Starfleet Academy
